arm,pooling,task,gap_s0,gap_s1,gap_s2,gap_mean,gap_sd,gap_2se,confirm,delta_s0,delta_s1,delta_s2,delta_mean,delta_sd
exp03_fb0_b0p1_comb,window_score,pulsating,-0.002000846080524643,-0.007179468997117633,-0.035429909635860235,-0.014870074904500838,0.01799262729463584,0.020776096423973222,False,-0.0560286515388384,-0.060967568059255406,-0.06378536072287189,-0.06026052677365523,0.003926393367465199
exp03_fb0_b0p1_comb,window_score,eb,0.09733456889956837,0.058528586250485515,0.07663119754184844,0.07749811756396745,0.01941751104245323,0.022421410454705807,True,0.03177746763225875,0.028844685934767966,0.021218827848719313,0.02728032713858201,0.005450379101680791
exp03_fb0_b0p1_comb,window_score,rotation,0.03519530226254497,0.02098658294268374,0.040202738547589933,0.03212820791760621,0.009968473295773952,0.011510601481449376,True,0.019250415773118812,0.0021130899651279345,0.02348194760469391,0.014948484447646885,0.011315342639611793
exp03_fb0_b0p1_comb,window_score,transit,0.07200499537888456,0.06156805700900632,0.08189022742455383,0.07182109327081491,0.01016233327482685,0.011734451703631946,True,0.011232758107007051,0.02824290175361628,0.028821979436318368,0.022765879765647232,0.009992172143002609
exp03_fb0_b0p1_comb,mean,pulsating,0.05402780545831376,0.05378809906213777,0.02835545108701165,0.04539045186915439,0.014753230274241464,0.017035562940499693,True,-0.0560286515388384,-0.060967568059255406,-0.06378536072287189,-0.06026052677365523,0.003926393367465199
exp03_fb0_b0p1_comb,mean,eb,0.06555710126730963,0.02968390031571755,0.055412369693129127,0.050217790425385433,0.018492143654941173,0.021352888234147036,True,0.03177746763225875,0.028844685934767966,0.021218827848719313,0.02728032713858201,0.005450379101680791
exp03_fb0_b0p1_comb,mean,rotation,0.015944886489426158,0.018873492977555806,0.016720790942896024,0.01717972346995933,0.001517283193367771,0.0017520077202555552,True,0.019250415773118812,0.0021130899651279345,0.02348194760469391,0.014948484447646885,0.011315342639611793
exp03_fb0_b0p1_comb,mean,transit,0.06077223727187751,0.03332515525539004,0.053068247988235465,0.04905521350516767,0.014156762063645273,0.016346820776598162,True,0.011232758107007051,0.02824290175361628,0.028821979436318368,0.022765879765647232,0.009992172143002609
exp03_fb0p02_b0p1_lpsd,window_score,pulsating,0.013447308897224453,0.015996362182853052,0.003123619899834562,0.010855763659970688,0.006816447279103867,0.00787095534301502,True,-0.04125068458480374,0.02410818607007703,0.0024951694717777473,-0.004882443014316322,0.033298158625013896
exp03_fb0p02_b0p1_lpsd,window_score,eb,0.12276390127729275,0.10969417703871376,0.12592415178352157,0.11946074336650936,0.008604426720703303,0.009935536166840921,True,0.06165776321333638,0.045268670808148226,0.05260232911899643,0.05317625438016035,0.008209605966214248
exp03_fb0p02_b0p1_lpsd,window_score,rotation,0.015084999942890365,0.03132297289032204,0.01264691369534865,0.01968496217618702,0.010152267538552863,0.011722828792537191,True,-0.013761345589828222,0.0022196391426961837,-0.01036532995833539,-0.0073023454684891425,0.00841928582149778
exp03_fb0p02_b0p1_lpsd,window_score,transit,0.04571374222088746,0.06576748337223122,0.0515849926218722,0.054355406071663635,0.010309923692897219,0.01190487443883742,True,0.009774004100512934,0.026901169067452615,0.009051329576172065,0.015242167581379204,0.01010345492176955
exp03_fb0p02_b0p1_lpsd,mean,pulsating,0.054697993482028195,-0.008111823887223979,0.0006284504280568148,0.01573820667428701,0.034022005229778454,0.03928522775556689,False,-0.04125068458480374,0.02410818607007703,0.0024951694717777473,-0.004882443014316322,0.033298158625013896
exp03_fb0p02_b0p1_lpsd,mean,eb,0.06110613806395637,0.06442550623056553,0.07332182266452514,0.06628448898634902,0.006316454720004607,0.007293613665837485,True,0.06165776321333638,0.045268670808148226,0.05260232911899643,0.05317625438016035,0.008209605966214248
exp03_fb0p02_b0p1_lpsd,mean,rotation,0.028846345532718587,0.02910333374762586,0.02301224365368404,0.02698730764467616,0.003444903632180728,0.003977832078743726,True,-0.013761345589828222,0.0022196391426961837,-0.01036532995833539,-0.0073023454684891425,0.00841928582149778
exp03_fb0p02_b0p1_lpsd,mean,transit,0.03593973812037453,0.038866314304778604,0.04253366304570014,0.039113238490284426,0.0033038901533265852,0.003815003738792116,True,0.009774004100512934,0.026901169067452615,0.009051329576172065,0.015242167581379204,0.01010345492176955
