recipe,cell,task,n_seeds,delta_vs_off_mean,delta_sd,delta_2se,confirm,cell_prauc_mean,off_prauc_mean,gap_vs_untrained_mean
comb,fbwd_c0p1,pulsating,4,0.004365887777705496,0.02668793157663606,0.02668793157663606,False,0.7923529908880393,0.7879871031103337,0.02486945293671935
comb,fbwd_c0p1,eb,4,0.01821904701437599,0.011311577067295403,0.011311577067295403,True,0.7624134613510807,0.7441944143367047,0.04982564413076207
comb,fbwd_c0p1,rotation,4,0.04729413354335055,0.017320023508444617,0.017320023508444617,True,0.5627602296681911,0.5154660961248405,0.03102451272148527
comb,fbwd_c0p1,transit,4,0.008934159602628923,0.026038709175173442,0.026038709175173442,False,0.12946647089838492,0.12053231129575599,0.04888852832568841
comb,fbwd_c0p3,pulsating,4,0.01023799264152972,0.02805220639389881,0.02805220639389881,False,0.7982250957518635,0.7879871031103337,0.030741557800543624
comb,fbwd_c0p3,eb,4,0.029030838128111358,0.006671638908092262,0.006671638908092262,True,0.7732252524648161,0.7441944143367047,0.06063743524449748
comb,fbwd_c0p3,rotation,4,0.049340307862731664,0.02123127800189007,0.02123127800189007,True,0.5648064039875722,0.5154660961248405,0.033070687040866374
comb,fbwd_c0p3,transit,4,0.008195898647179595,0.03190785524841326,0.03190785524841326,False,0.1287282099429356,0.12053231129575599,0.0481502673702391
comb,fbwd_c1p0,pulsating,4,0.01651769105462872,0.024673135336765,0.024673135336765,False,0.8045047941649625,0.7879871031103337,0.0370212562136426
comb,fbwd_c1p0,eb,4,0.01954915089473791,0.005820143902075555,0.005820143902075555,True,0.7637435652314426,0.7441944143367047,0.051155748011124
comb,fbwd_c1p0,rotation,4,0.04255157354503705,0.01897187135666794,0.01897187135666794,True,0.5580176696698775,0.5154660961248405,0.026281952723171773
comb,fbwd_c1p0,transit,4,0.024455380326989972,0.017481575097829497,0.017481575097829497,True,0.14498769162274597,0.12053231129575599,0.06440974905004948
comb,fwd_c0p1,pulsating,4,0.006100790224413566,0.03147056407339524,0.03147056407339524,False,0.7940878933347473,0.7879871031103337,0.026604355383427425
comb,fwd_c0p1,eb,4,0.017757946415883463,0.008989259039953445,0.008989259039953445,True,0.7619523607525882,0.7441944143367047,0.04936454353226955
comb,fwd_c0p1,rotation,4,0.015888469654163573,0.02704271006403846,0.02704271006403846,False,0.5313545657790041,0.5154660961248405,-0.0003811511677016752
comb,fwd_c0p1,transit,4,0.007954620891794498,0.016193830062657736,0.016193830062657736,False,0.1284869321875505,0.12053231129575599,0.047908989614854
comb,fwd_c0p3,pulsating,4,0.0031343340800564223,0.0329037169403543,0.0329037169403543,False,0.7911214371903903,0.7879871031103337,0.0236378992390703
comb,fwd_c0p3,eb,4,0.02062835466697882,0.02229512785814996,0.02229512785814996,False,0.7648227690036835,0.7441944143367047,0.0522349517833649
comb,fwd_c0p3,rotation,4,0.016856947152846802,0.019005025636553673,0.019005025636553673,False,0.5323230432776873,0.5154660961248405,0.000587326330981575
comb,fwd_c0p3,transit,4,0.016919330884929622,0.02084396900696131,0.02084396900696131,False,0.13745164218068562,0.12053231129575599,0.056873699607989124
comb,fwd_c1p0,pulsating,4,0.02051235937834231,0.040398159085388546,0.040398159085388546,False,0.8084994624886761,0.7879871031103337,0.04101592453735618
comb,fwd_c1p0,eb,4,0.02393099325488271,0.01287094449030267,0.01287094449030267,True,0.7681254075915874,0.7441944143367047,0.055537590371268826
comb,fwd_c1p0,rotation,4,0.037473168838530996,0.01815638799429685,0.01815638799429685,True,0.5529392649633715,0.5154660961248405,0.021203548016665727
comb,fwd_c1p0,transit,4,0.03508371885048869,0.023823002112033028,0.023823002112033028,True,0.1556160301462447,0.12053231129575599,0.07503808757354817
comb,multi_c0p1,pulsating,4,-0.0026498557460259142,0.027488401185909395,0.027488401185909395,False,0.7853372473643079,0.7879871031103337,0.017853709412987976
comb,multi_c0p1,eb,4,0.0012953014931056384,0.009746849071859548,0.009746849071859548,False,0.7454897158298105,0.7441944143367047,0.03290189860949173
comb,multi_c0p1,rotation,4,0.015149779616757092,0.01573010721009538,0.01573010721009538,False,0.5306158757415976,0.5154660961248405,-0.0011198412051081244
comb,multi_c0p1,transit,4,-0.007883640034485873,0.017753943782405284,0.017753943782405284,False,0.11264867126127012,0.12053231129575599,0.03207072868857363
comb,multi_c0p3,pulsating,4,3.8902010763425254e-05,0.018926089700693153,0.018926089700693153,False,0.7880260051210972,0.7879871031103337,0.020542467169777298
comb,multi_c0p3,eb,4,0.0003302839870041874,0.01899076843486292,0.01899076843486292,False,0.7445246983237089,0.7441944143367047,0.031936881103390304
comb,multi_c0p3,rotation,4,0.02222285850036282,0.018619689357944568,0.018619689357944568,True,0.5376889546252034,0.5154660961248405,0.005953237678497575
comb,multi_c0p3,transit,4,0.010561247961941793,0.031934290015574573,0.031934290015574573,False,0.13109355925769778,0.12053231129575599,0.05051561668500128
comb,multi_c1p0,pulsating,4,-0.0004928861689642849,0.022900273411726603,0.022900273411726603,False,0.7874942169413695,0.7879871031103337,0.020010678990049574
comb,multi_c1p0,eb,4,0.023719289790969517,0.010747904005032219,0.010747904005032219,True,0.7679137041276742,0.7441944143367047,0.055325886907355626
comb,multi_c1p0,rotation,4,0.023086484427132903,0.016650382336008372,0.016650382336008372,True,0.5385525805519734,0.5154660961248405,0.00681686360526765
comb,multi_c1p0,transit,4,0.01331222917003607,0.008098899623205483,0.008098899623205483,True,0.13384454046579206,0.12053231129575599,0.053266597893095576
lpsd,multi_c1p0,pulsating,4,0.03683901384119559,0.029534895198886472,0.029534895198886472,True,0.7941050002970782,0.7572659864558826,0.02662146234575835
lpsd,multi_c1p0,eb,4,0.012822446574004442,0.009860197806803464,0.009860197806803464,True,0.7734993609320022,0.7606769143579977,0.06091154371168345
lpsd,multi_c1p0,rotation,4,-0.009540312379771959,0.017156134954465524,0.017156134954465524,False,0.5491632698252709,0.5587035822050428,0.017427552878565074
lpsd,multi_c1p0,transit,4,0.01594282692572252,0.01147252321862859,0.01147252321862859,True,0.12441142689142189,0.10846859996569938,0.04383348431872537
