exp_name,ckpt,readout,pooling,task,pr_auc_v1,pr_auc_untrained_v1,gap_v1,n_test_pos_v1,base_rate_v1,pr_auc_v2,pr_auc_untrained_v2,gap_v2,n_test_pos_v2,base_rate_v2,delta_pr_auc,delta_gap,delta_n_test_pos
exp03_fb0_b0p3_lpsd,best,mlp,mean,eb,0.6713925651903615,0.6964033407428439,-0.0250107755524824,196,0.0969816922315685,0.7560022700070086,0.7023350455142886,0.0536672244927199,189,0.0935180603661553,0.08460970481664709,0.0786780000452023,-7
exp03_fb0_b0p1_comb,best_recon_aux,mlp,max,eb,0.6507676002160243,0.7117152244859503,-0.0609476242699259,196,0.0969816922315685,0.7282902284613618,0.7017002300695743,0.0265899983917875,189,0.0935180603661553,0.07752262824533751,0.0875376226617134,-7
exp03_fb0p02_b1p0_lpsd,best_recon_aux,mlp,max,eb,0.7070373094057432,0.7117152244859503,-0.004677915080207,196,0.0969816922315685,0.7737101550857054,0.7017002300695743,0.0720099250161311,189,0.0935180603661553,0.06667284567996223,0.0766878400963381,-7
exp03_fb0_b0p1_comb,best_recon_aux,mlp,mean,eb,0.7006894400257497,0.6964033407428439,0.0042860992829057,196,0.0969816922315685,0.7551320181424429,0.7023350455142886,0.0527969726281543,189,0.0935180603661553,0.054442578116693174,0.0485108733452486,-7
exp03_fb0p1_b0p1_lpsd,best,mlp,mean,eb,0.6916256205129779,0.6964033407428439,-0.004777720229866,196,0.0969816922315685,0.74423467543811,0.7023350455142886,0.0418996299238213,189,0.0935180603661553,0.052609054925132015,0.0466773501536873,-7
exp03_fb0p1_b0p1_lpsd,best_recon_aux,mlp,mean,eb,0.6968465132350539,0.6964033407428439,0.0004431724922099,196,0.0969816922315685,0.7412308926473558,0.7023350455142886,0.0388958471330671,189,0.0935180603661553,0.04438437941230189,0.0384526746408572,-7
exp03_fb0p02_b1p0_lpsd,best,mlp,quantile,eb,0.7131622367389968,0.6903264519718817,0.0228357847671151,196,0.0969816922315685,0.7498008565724549,0.696092599953435,0.0537082566190199,189,0.0935180603661553,0.036638619833458064,0.030872471851904802,-7
exp03_fb0p1_b1p0_none,best,mlp,mean,eb,0.698013306132123,0.6964033407428439,0.001609965389279,196,0.0969816922315685,0.733236205740343,0.7023350455142886,0.0309011602260543,189,0.0935180603661553,0.035222899608220004,0.0292911948367753,-7
exp03_fb0p1_b0p3_none,best,mlp,window_score,eb,0.733732199521834,0.6789522251691357,0.0547799743526983,196,0.0969816922315685,0.767325066943605,0.6895776480484126,0.0777474188951924,189,0.0935180603661553,0.03359286742177103,0.022967444542494102,-7
exp03_fb0p1_b1p0_none,best_recon_aux,mlp,mean,eb,0.6930701271195476,0.6964033407428439,-0.0033332136232963,196,0.0969816922315685,0.7252436845069227,0.7023350455142886,0.022908638992634,189,0.0935180603661553,0.03217355738737504,0.026241852615930303,-7
exp03_fb0p05_b0p3_lpsd,best_recon_aux,gbm,window_score,eb,0.74745439040068,0.740985495878607,0.0064688945220729,196,0.0969816922315685,0.7779969492221859,0.7342692724332739,0.0437276767889119,189,0.0935180603661553,0.030542558821505916,0.037258782266839,-7
exp03_fb0p02_b0p1_lpsd,best_recon_aux,mlp,window_score,eb,0.7493995778385517,0.6789522251691357,0.070447352669416,196,0.0969816922315685,0.777006824524393,0.6895776480484126,0.0874291764759803,189,0.0935180603661553,0.027607246685841247,0.016981823806564295,-7
exp03_fb0p02_b0p1_lpsd,best,mlp,window_score,eb,0.7493995778385517,0.6789522251691357,0.070447352669416,196,0.0969816922315685,0.777006824524393,0.6895776480484126,0.0874291764759803,189,0.0935180603661553,0.027607246685841247,0.016981823806564295,-7
exp03_fb0_b0p3_lpsd,best_recon_aux,mlp,mean,eb,0.7181945731213564,0.6964033407428439,0.0217912323785124,196,0.0969816922315685,0.7451391441620581,0.7023350455142886,0.0428040986477694,189,0.0935180603661553,0.026944571040701693,0.021012866269257,-7
exp03_fb0p02_b0p1_lpsd,best_recon_aux,mlp,max,eb,0.7237176219608324,0.7117152244859503,0.0120023974748821,196,0.0969816922315685,0.7502217244937689,0.7017002300695743,0.0485214944241946,189,0.0935180603661553,0.026504102532936447,0.036519096949312504,-7
exp03_fb0p02_b0p1_lpsd,best,mlp,max,eb,0.7237176219608324,0.7117152244859503,0.0120023974748821,196,0.0969816922315685,0.7502217244937689,0.7017002300695743,0.0485214944241946,189,0.0935180603661553,0.026504102532936447,0.036519096949312504,-7
exp03_fb0_b0p3_lpsd,best_recon_aux,mlp,max,eb,0.6598119774571696,0.7117152244859503,-0.0519032470287806,196,0.0969816922315685,0.6860737135017898,0.7017002300695743,-0.0156265165677844,189,0.0935180603661553,0.026261736044620232,0.03627673046099621,-7
exp03_fb0p1_b0p1_lpsd,best,mlp,quantile,eb,0.6806339368881396,0.6903264519718817,-0.0096925150837421,196,0.0969816922315685,0.7065273948543861,0.696092599953435,0.0104347949009511,189,0.0935180603661553,0.025893457966246536,0.020127309984693198,-7
exp03_fb0p02_b0p1_lpsd,best_recon_aux,mlp,quantile,eb,0.6916668449317367,0.6903264519718817,0.0013403929598549,196,0.0969816922315685,0.7164862273634306,0.696092599953435,0.0203936274099956,189,0.0935180603661553,0.024819382431693904,0.0190532344501407,-7
