exp_name,mean_gated_gap,regressed,gap_pulsating,trainmu_gbm_pulsating,gap_eb,trainmu_gbm_eb,gap_rotation,trainmu_gbm_rotation,gap_transit,trainmu_gbm_transit
exp01_window256_seq16,0.027975568415888868,,0.0033285366623683,0.7665976627665261,0.0526542669751922,0.7446216689508375,0.0279439016101061,0.492868730343264,0.0305896861691221,0.1558105335853931
exp02e_masked_f030,0.0258274020527418,rotation,0.0093954505560185,0.7964899377105074,0.0518034803758067,0.7306024317938339,0.0162832752264002,0.4621567657539645,0.0343413859437748,0.1697656777780824
exp02c_hf_time_w0p3,0.0251667132799946,,0.0007964697172584,0.7569528888101158,0.0518411146202533,0.7379045071300231,0.0228625555024721,0.496058386736409,0.0218827948141271,0.1919493170419175
exp02b_logpsd_shape_w0p1,0.02456164543338807,eb,-0.0039155981633137,0.7926455903704377,0.0404080321313982,0.7303771696187485,0.0371925023320797,0.5296184140475222,0.0343718413696146,0.1827840230924293
exp02b_logpsd_shape_w0p3,0.023587803773234762,eb;rotation,0.0231294880581138,0.7975338190097807,0.0375200209643337,0.708787474066273,0.0101139022972568,0.4857936012697171,0.0621413222783703,0.1410279493835984
exp02d_combined_w0p3,0.020512265200522198,eb,-0.004938275366352,0.8199226396199482,0.0346939374187231,0.7303705829369503,0.0317811335491955,0.5178890900818682,0.0534488541377417,0.1492945423545782
exp02a_logpsd_amp_w0p3,0.019216656406556603,eb,0.0101343720961887,0.7666490624414426,0.0216257376274188,0.7191465336701132,0.0258898594960623,0.4940192634309877,0.0394374448814196,0.1484642344352364
exp02d_combined_w0p1,0.014675680520429966,pulsating;eb,-0.0143884564218101,0.7777060787719765,0.038726166488913,0.7109391194778794,0.019689331494187,0.4932078393541425,0.0292659862020356,0.1363790058301505
exp02e_masked_f015,0.012347029734233966,pulsating;eb,-0.0215725302296635,0.7931840459932442,0.040245644419892,0.7289302137894127,0.0183679750124734,0.4713449640221603,0.0259620324328706,0.1872331582806136
exp02a_logpsd_amp_w0p1,0.0079203336176031,pulsating;eb;rotation,-0.0265527489565946,0.8158746421283392,0.0365319907412209,0.7071352703716438,0.013781759068183,0.4994231429825668,0.0452432681837857,0.1578703868506713
exp02c_hf_time_w0p6,0.005402823599092433,pulsating;eb;rotation,-0.0197219570541199,0.7493245008661065,0.0348470077096766,0.7188212915557127,0.0010834201417206,0.4801421068315495,0.028165077731798,0.2024292871798381
