exp_name,readout,task,pr_auc_mean,pr_auc_untrained,gap_mean,gap_sd,n_seeds,gap_se,mean_over_2se
exp03_fb0p05_b0p3_lpsd,gbm,pulsating,0.808874,0.824182,-0.015308,0.020486,3,0.011828,False
exp03_fb0_b0p1_comb,gbm,pulsating,0.800194,0.824182,-0.023987,0.005865,3,0.003386,False
exp04_fb0p04_b0p05_lpsd,gbm,pulsating,0.79629,0.824182,-0.027891,,1,,False
exp04_fb0p02_b0p2_lpsd,gbm,pulsating,0.792525,0.824182,-0.031657,0.038516,2,0.027235,False
exp04_fb0p01_b0p05_lpsd,gbm,pulsating,0.791182,0.824182,-0.033,0.013039,2,0.00922,False
exp04_fb0p02_b0p05_lpsd,gbm,pulsating,0.78695,0.824182,-0.037232,0.007541,2,0.005332,False
exp04_fb0p01_b0p2_lpsd,gbm,pulsating,0.775937,0.824182,-0.048244,,1,,False
exp04_winner_ep100,gbm,pulsating,0.770462,0.824182,-0.053719,,1,,False
exp03_fb0_b0p1_comb,logistic,pulsating,0.812874,0.767484,0.04539,0.014753,3,0.008518,True
exp04_fb0p02_b0p05_lpsd,logistic,pulsating,0.807154,0.767484,0.03967,0.03089,2,0.021843,False
exp04_enc_k15,logistic,pulsating,0.787112,0.753706,0.033405,0.028614,2,0.020233,False
exp04_winner_ep100,logistic,pulsating,0.794408,0.767484,0.026925,,1,,False
exp03_fb0p05_b0p3_lpsd,logistic,pulsating,0.793212,0.767484,0.025729,0.027852,3,0.016081,False
exp04_fb0p01_b0p05_lpsd,logistic,pulsating,0.790134,0.767484,0.02265,0.035567,2,0.02515,False
exp04_fb0p02_b0p2_lpsd,logistic,pulsating,0.787262,0.767484,0.019779,0.003133,2,0.002215,True
exp03_fb0p02_b0p1_lpsd,logistic,pulsating,0.783222,0.767484,0.015738,0.034022,3,0.019643,False
exp04_enc_w2x,logistic,pulsating,0.765435,0.749883,0.015553,0.019364,2,0.013692,False
exp04_enc_z64,logistic,pulsating,0.75879,0.748851,0.009939,0.055517,3,0.032053,False
exp04_fb0p04_b0p2_lpsd,logistic,pulsating,0.777309,0.767484,0.009825,,1,,False
exp04_enc_z64k9,logistic,pulsating,0.769661,0.76404,0.005621,0.054481,2,0.038524,False
exp04_fb0p04_b0p05_lpsd,logistic,pulsating,0.771785,0.767484,0.004302,,1,,False
