task,trained_1024,untrained_1024,gap_1024,trained_256,untrained_256,gap_256,gap_widened
transit,0.10813778946422682,0.0892872678950397,0.018850521569187123,0.11109523845692146,0.08050555228779932,0.030589686169122138,0.011739164599935015
eb,0.7329405183408412,0.6399831776946249,0.0929573406462163,0.7650875811595335,0.7124333141843412,0.052654266975192265,-0.04030307367102404
pulsating,0.7362807846611642,0.7356281798437928,0.0006526048173713939,0.771148972228101,0.7678204355657327,0.00332853666236832,0.002675931844996926
